Chemical Formula;Molecular Weight (monoisotopic);Generic Name;CAS Number
C12H16O2S;224,087100; (5R)-4-HYDROXY-3,5-DIMETHYL-5-[(1E,3E)-2-METHYLPENTA-1,3-DIENYL]THIOPHEN-2(5H)-ONE;
C13H12N4;224,106196; 2-AMINO-1-METHYL-6-PHENYLIMIDAZO[4,5-B]PYRIDINE;
C11H16N2O3;224,116092; Butalbital;77-26-9
C16H16O;224,120115; 2,6-dimethyl-4-[(E)-2-phenylethenyl]phenol;
C5H12AsNO2S;224,980471; S-(Dimethylarsenic)Cysteine;
C9H6O5P;224,995285; (2z)-3-{[Oxido(Oxo)Phosphino]Oxy}-2-Phenylacrylate;2007-07-0
C9H7NO4S;225,009578; 5-(3-HYDROXYPHENYL)ISOTHIAZOL-3(2H)-ONE 1,1-DIOXIDE;
C9H8ClN3S;225,012746; 3-(4-CHLOROPHENYL)-5-(METHYLTHIO)-4H-1,2,4-TRIAZOLE;
C8H7N3O5;225,038570; Furazolidone;67-45-8
C9H11N3O2S;225,057197; N-(4-OXO-5,6,7,8-TETRAHYDRO-4H-[1,3]THIAZOLO[5,4-C]AZEPIN-2-YL)ACETAMIDE;
C11H14O3P;225,068056; (6-METHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL)METHYLPHOSPHINATE;
C8H11N5O3;225,086189; Aciclovir;59277-89-3
C10H13N2O4;225,087532; Porphobilinogen;487-90-1
C11H15NO4;225,100108; Furoyl-Leucine;
C8H19NO6;225,121237; N-Acetylmannosaminitol;
C12H19NO3;225,136493; Terbutaline;23031-25-6
C12H19NO3;225,136493; 3,4,5-Trimethoxyamphetamine;1082-88-8
C13H27N3;225,220498; N1-(2-AMINO-4-METHYLPENTYL)OCTAHYDRO-PYRROLO[1,2-A] PYRIMIDINE;
C9H10N2OS2;226,023454; 2-(methylsulfanyl)-5-(thiophen-2-ylmethyl)-1H-imidazol-4-ol;
C10H10O6;226,047738; Isochorismic Acid;22642-82-6
C10H10O6;226,047738; PREPHENIC ACID;
C9H10N2O5;226,058971; Meta-Nitro-Tyrosine;
C9H10N2O5;226,058971; Cyclouridine;3736-77-4
C14H10O3;226,062994; 2-(4-HYDROXY-PHENYL)BENZOFURAN-5-OL;
C12H10N4O;226,085461; IMIDAZO[2,1-A]ISOQUINOLINE-2-CARBOHYDRAZIDE;
C10H14N2O4;226,095357; Carbidopa;28860-95-9
C15H14O2;226,099380; 2-(1,1'-Biphenyl-4-Yl)Propanoic Acid;
C14H14N2O;226,110613; Metyrapone;54-36-4
C14H14N2O;226,110613; 5-[2-(1H-pyrrol-1-yl)ethoxy]-1H-indole;
C11H18N2O3;226,131742; Pentobarbital;76-74-4
C11H18N2O3;226,131742; Amobarbital;57-43-2
C12H22N2O2;226,168128; 6-(2-HYDROXY-CYCLOPENTYL)-7-OXO-HEPTANAMIDINE;
C3H5N3O9;227,002579; Nitroglycerin;55-63-0
C7H5N3O6;227,017835; Trinitrotoluene;118-96-7
C12H9N3S;227,051718; PHENYL-5-(1H-PYRAZOL-3-YL)-1,3-THIAZOLE;
C6H14NO6P;227,055874; Monoisopropylphosphorylserine;
C9H13N3O2S;227,072847; (1R,2S)-2-(5-thioxo-4,5-dihydro-1H-1,2,4-triazol-3-yl)cyclohexanecarboxylic acid;
C9H13N3O4;227,090606; 2'-Deoxycytidine;951-77-9
C12H12F3N;227,092184; (1S,4R,9S)-5-(trifluoromethyl)-1,2,3,4-tetrahydro-1,4-methanonaphthalen-9-amine;
C14H13NO2;227,094629; 9-ACETYL-2,3,4,9-TETRAHYDRO-1H-CARBAZOL-1-ONE;
C10H15N2O4;227,103182; (S)-ATPA;
C13H13N3O;227,105862; N-(5-Cyclopropyl-1h-Pyrazol-3-Yl)Benzamide;
C13H13N3O;227,105862; 5-ETHYL-3-METHYL-1,5-DIHYDRO-4H-PYRAZOLO[4,3-C]QUINOLIN-4-ONE;
C12H21NO3;227,152144; N-(2-OXOTETRAHYDROFURAN-3-YL)OCTANAMIDE;
C8H8N2O4S;228,020477; N-oxo-2-(phenylsulfonylamino)ethanamide;
C11H13ClO3;228,055322; (3-Chloro-4-Propoxy-Phenyl)-Acetic Acid;
C10H12O6;228,063388; 8-HYDROXY-2-OXA-BICYCLO[3.3.1]NON-6-ENE-3,5-DICARBOXYLIC ACID;
C10H12O6;228,063388; (1R,3S,5S,8R)-8-HYDROXY-2-OXABICYCLO[3.3.1]NON-6-ENE-3,5-DICARBOXYLIC ACID;
C9H12N2O5;228,074622; 2'-Deoxyuridine;951-78-0
C9H12N2O5;228,074622; Zebularine;654065,00
C10H8N6O;228,075959; Pemirolast;100299-08-9
C14H12O3;228,078644; Oxybenzone;131-57-7
C14H12O3;228,078644; Resveratrol;501-36-0
C14H12O3;228,078644; Trioxsalen;3902-71-4
C8H12N4O4;228,085855; Decitabine;2353-33-5
C10H16N2O2S;228,093248; (2s)-2-Amino-4-(Methylsulfanyl)-1-Pyridin-2-Ylbutane-1,1-Diol;
C10H16N2O2S;228,093248; 5-(HEXAHYDRO-2-OXO-1H-THIENO[3,4-D]IMIDAZOL-6-YL)PENTANAL;
C15H16O2;228,115030; Nabumetone;42924-53-8
C15H16O2;228,115030; 4,4'-PROPANE-2,2-DIYLDIPHENOL;
C9H16N4O3;228,122240; Deoxyguanidinoproclavaminic acid;
C11H20N2O3;228,147393; 4-{[(CYCLOHEXYLAMINO)CARBONYL]AMINO}BUTANOIC ACID;
C14H28O2;228,208930; MYRISTIC ACID;
C15H34N;228,269125; Dodecane-Trimethylamine;
C6H3N3O7;228,997099; 2,4,6-Trinitrophenol;
C9H9Cl2N3;229,017353; Clonidine;4205-90-7
C9H11NO4S;229,040879; 3-[4-(AMINOSULFONYL)PHENYL]PROPANOIC ACID;
C6H8ClN7O;229,047886; Amiloride;2016-88-8
C9H12NO4P;229,050394; RU79073;
C9H12NO4P;229,050394; ISO24;
C8H11N3O3S;229,052112; Lamivudine;134678-17-4
C6H15NO6S;229,062008; 2-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Ethanesulfonic Acid;7365-44-8
C11H11N5O;229,096360; 2-(Pyrido[1,2-E]Purin-4-Yl)Amino-Ethanol;
C14H15NO2;229,110279; 2-[(2-methoxy-5-methylphenoxy)methyl]pyridine;
C14H15NO2;229,110279; 4-[(5-methoxy-2-methylphenoxy)methyl]pyridine;
C14H15NO2;229,110279; 2-aminoethyl naphthalen-1-ylacetate;
C16H23N;229,183050; Rolicyclidine;2201-39-0
C14H31NO;229,240565; Lauryl Dimethylamine-N-Oxide;
C7H6N2O3S2;229,981983; 6-HYDROXY-1,3-BENZOTHIAZOLE-2-SULFONAMIDE;
C8H7ClN2O2S;229,991676; Diazoxide;364-98-7
C8H8Cl2N4;230,012602; Guanabenz;5051-62-7
C5H11O8P;230,019154; Ribose-1-Phosphate;
C5H11O8P;230,019154; Ribulose-5-Phosphate;
C5H11O8P;230,019154; Beta-D-Arabinofuranose-5'-Phosphate;
C5H11O8P;230,019154; [(2r,3s,4s,5r)-3,4,5-Trihydroxytetrahydrofuran-2-Yl]Methyl Dihydrogen Phosphate;
C5H14N2O4S2;230,039498; S-{2-[Amino(Dihydroxy)-Lambda~4~-Sulfanyl]Ethyl}-D-Cysteine;
C9H14N2O3S;230,072513; 4-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-4-Yl)-Butyricacid;
C10H14O6;230,079038; 4,7-Dioxosebacic Acid;
C9H14N2O5;230,090272; Tetrahydrodeoxyuridine;
C14H14O3;230,094294; Naproxen;22204-53-1
C14H14O3;230,094294; (2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid;
C14H14O3;230,094294; 5-[2-(4-hydroxyphenyl)ethyl]benzene-1,3-diol;
C14H18N2O;230,141913; Ibudilast;50847-11-5
C5HBrClN4;230,907311; 2-Bromo-6-Chloro-Purine;
C6H7CaO7;230,981769; Isocitrate Calcium Complex;
C9H7Cl2NO2;230,985384; (2E)-3-(2,4-DICHLOROPHENYL)-N-HYDROXYACRYLAMIDE;
C4H10NO8P;231,014403; 4-Phospho-D-Erythronohydroxamic Acid;
C14H14ClN;231,081477; (2R)-2-(4-CHLOROPHENYL)-2-PHENYLETHANAMINE;
C12H13N3O2;231,100777; Isocarboxazid;59-63-2
C12H16F3N;231,123484; Fenfluramine;458-24-2
C12H16F3N;231,123484; Dexfenfluramine;3239-44-9
C14H17NO2;231,125929; (2S)-2-(1H-indol-3-yl)hexanoic acid;
C13H17N3O;231,137162; Aminophenazone;58-15-1
C11H21NO4;231,147058; 3-(1-Aminoethyl)Nonanedioic Acid;
C8H9O6P;232,013675; RU78300;
C5H13O8P;232,034804; Ribose-5-Phosphate;4151-19-3
C5H13O8P;232,034804; L-Xylitol 5-Phosphate;64913-51-5
C5H13O8P;232,034804; Arabinose-5-Phosphate;
C12H12N2OS;232,067034; 2-PHENYLAMINO-4-METHYL-5-ACETYL THIAZOLE;
C8H12N2O6;232,069536; Kifunensine;109944-15-2
C12H12N2O3;232,084792; Nalidixic Acid;389-08-2
C12H12N2O3;232,084792; Phenobarbital;50-06-6
C12H12N2O3;232,084792; Dazoxiben;
C12H12N2O3;232,084792; N-[1H-INDOL-3-YL-ACETYL]GLYCINE ACID;
C9H16N2O5;232,105922; N~2~-Succinylornithine;
C14H16O3;232,109944; Kava;9000-38-8
C13H16N2O2;232,121178; Aminoglutethimide;125-84-8
C13H16N2O2;232,121178; Melatonin;73-31-4
C10H20N2O4;232,142307; 3-(2-Aminoethyl)-4-(Aminomethyl)Heptanedioic Acid;
C10H20N2O4;232,142307; 7-(Carboxyamino)-8-Amino-Nonanoic Acid;
C14H20N2O;232,157563; 3-{3-[(DIMETHYLAMINO)METHYL]-1H-INDOL-7-YL}PROPAN-1-OL;
C14H20N2O;232,157563; Tymazoline;24243-97-8
C4H12NO8P;233,030053; L-Threonohydroxamate 4-Phosphate;
C11H7NO5;233,032422; 5-(2-NITROPHENYL)-2-FUROIC ACID;
C12H11NO4;233,068808; 6-methoxy-9-methyl[1,3]dioxolo[4,5-h]quinolin-8(9H)-one;
C10H11N5O2;233,091275; (1'r,2's)-9-(2-Hydroxy-3'-Keto-Cyclopenten-1-Yl)Adenine;
C9H16ClN3O2;233,093104; Lomustine;13010-47-4
C15H11N3;233,095297; 3-Pyridin-4-Yl-2,4-Dihydro-Indeno[1,2-.C.]Pyrazole;
C11H13N4O2;233,103851; (3s,8ar)-3-(1h-Imidazol-5-Ylmethyl)Hexahydropyrrolo[1,2-a]Pyrazine-1,4-Dione;
C13H15NO3;233,105193; 5,8-dimethoxy-1,4-dimethylquinolin-2(1H)-one;
C10H19NO3S;233,108564; N-hexanoyl-L-homocysteine;
C14H19NO2;233,141579; Methylphenidate;113-45-1
C14H19NO2;233,141579; Dexmethylphenidate;40431-64-9
C4H5Cl2O5P;233,925165; 3,3-Dichloro-2-Phosphonomethyl-Acrylic Acid;
C7H7IO;233,954158; 3-Iodo-Benzyl Alcohol;
C8H5F3N2OS;234,007468; Riluzole;1744-22-5
C12H10O3S;234,035065; 2'-HYDROXY-1,1'-BIPHENYL-2-SULFINIC ACID;
C13H8F2O2;234,049236; 2',6'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID;
C13H8F2O2;234,049236; 3',5'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID;
C8H14N2O2S2;234,049669; (2S)-2-AMINO-4-(METHYLSULFANYL)-1-(1,3-THIAZOL-2-YL)BUTANE-1,1-DIOL;
C12H10O5;234,052823; 7-Hydroxy-2-Oxo-Chromene-3-Carboxylic Acid Ethyl Ester;
C14H10N4;234,090546; 3-(1H-BENZIMIDAZOL-2-YL)-1H-INDAZOLE;
C12H14N2O3;234,100442; 2,5-Diaziridin-1-Yl-3-(Hydroxymethyl)-6-Methylcyclohexa-2,5-Diene-1,4-Dione;
C12H14N2O3;234,100442; [(2S)-4-methyl-3-oxo-2,3,4,5-tetrahydro-1H-1,4-benzodiazepin-2-yl]acetic acid;
C16H14N2;234,115698; 1-(biphenyl-4-ylmethyl)-1H-imidazole;
C15H22O2;234,161980; (1S,3aS,5aR,8aS)-1,7,7-trimethyl-1,2,3,3a,5a,6,7,8-octahydrocyclopenta[c]pentalene-4-carboxylic acid;
C14H22N2O;234,173213; Lidocaine;137-58-6
C15H26N2;234,209599; Sparteine;90-39-1
C6H5NO7S;234,978672; N,4-Dihydroxy-N-Oxo-3-(Sulfooxy)Benzenaminium;
C3H11NO7P2;235,001075; Pamidronate;40391-99-9
C10H10ClN5;235,062473; 5-chloro-7-[(1-methylethyl)amino]pyrazolo[1,5-a]pyrimidine-3-carbonitrile;
C7H13N3O4S;235,062677; Guanidinoethylmercaptosuccinic acid;77482-44-1
C12H13NO2S;235,066699; Carboxin;5234-68-4
C12H13NO4;235,084458; 8-Hydroxy-4-(1-Hydroxyethyl)Quinoline-2-Carboxylic Acid;
C12H13NO4;235,084458; 3-(4-HYDROXYPHENYL)-4,5-DIHYDRO-5-ISOXAZOLE-ACETIC ACID METHYL ESTER;
C9H17NO4S;235,087829; S-(D-Carboxybutyl)-L-Homocysteine;
C9H17NO6;235,105587; Alpha-Methyl-N-Acetyl-D-Glucosamine;
C10H13N5O2;235,106925; 1-[(2-Amino-6,9-Dihydro-1h-Purin-6-Yl)Oxy]-3-Methyl-2-Butanol;
C10H14BN3O3;235,112822; (R)-1-(4-(4-(HYDROXYMETHYL)-1,3,2-DIOXABOROLAN-2-YL)PHENYL)GUANIDINE;
C13H17NO3;235,120843; 4-HYDROXYBENZALDEHYDE O-(3,3-DIMETHYLBUTANOYL)OXIME;
C13H21N3O;235,168462; Procainamide;51-06-9
C5H8N4O3S2;236,003782; Methazolamide;554-57-4
C12H9ClO3;236,024022; 5-(2-CHLOROBENZYL)-2-FUROIC ACID;
C6H8N2O8;236,028065; Isosorbide Dinitrate;87-33-2
C11H9ClN2O2;236,035255; 5-(2-chlorophenyl)furan-2-carbohydrazide;
C10H8N2O5;236,043321; 1-[Pyrrol-1-Yl-2,5-Dione-Methoxymethyl]-Pyrrole-2,5-Dione;
C6H11N3O5P;236,043632; Nd1-Phosphonohistidine;
C11H9FN2O3;236,059720; Sorbinil;68367-52-2
C11H12N2O2S;236,061948; Zileuton;111406-87-2
C10H12N4O3;236,090940; Didanosine;69655-05-6
C15H12N2O;236,094963; Carbamazepine;298-46-4
C8H16N2O6;236,100836; Threonine-Aspartic Ester;
C12H16N2O3;236,116092; Hexobarbital;56-29-1
C14H20O3;236,141245; 3-(heptyloxy)benzoic acid;
C13H20N2O2;236,152478; Procaine;59-46-1
C13H20N2O2;236,152478; 4-[(Isopropylamino)Methyl]Phenylalanine;
C11H11NO5;237,063722; N-(CARBOXYCARBONYL)-D-PHENYLALANINE;
C8H15NO7;237,084852; 1-Deoxy-1-Methoxycarbamido-Beta-D-Glucopyranose;
C9H11N5O3;237,086189; Biopterin;
C14H11N3O;237,090212; N-1,10-phenanthrolin-5-ylacetamide;
C13H16ClNO;237,092042; Ketamine;6740-88-1
C12H15NO4;237,100108; (2S)-2-[(3aR,4R,7S,7aS)-1,3-dioxooctahydro-2H-4,7-methanoisoindol-2-yl]propanoic acid;
C10H15N5O2;237,122575; N-(3,5-dimethoxyphenyl)imidodicarbonimidic diamide;
C15H15N3;237,126597; 6-[2-(1H-INDOL-6-YL)ETHYL]PYRIDIN-2-AMINE;
C4H3IN2O2;237,923921; 5-Iodouracil;
C8H6N4O5;238,033819; Nitrofurantoin;67-20-9
C11H11O4P;238,039495; DPI59;
C10H10N2O3S;238,041213; 2-(3,4-Dihydro-3-Oxo-2h-Benzo[B][1,4]Thiazin-2-Yl)-N-Hydroxyacetamide;
C11H11FN2OS;238,057612; Fica;
C8H14O8;238,068867; 3-Deoxy-D-Manno-Oct-2-Ulosonic Acid;
C14H10N2O2;238,074228; (3e)-3-[(4-Hydroxyphenyl)Imino]-1h-Indol-2(3h)-One;
C9H18O5S;238,087494; 1-(Isopropylthio)-Beta-Galactopyranside;367-93-1
C11H14N2O4;238,095357; Felbamate;25451-15-4
C11H14N2O4;238,095357; 2-Amino-3-(3-Hydroxy-7,8-Dihydro-6h-Cyclohepta[D]-4-Isoxazolyl)Propionic Acid;
C11H14N2O4;238,095357; (2R)-3-{[(BENZYLAMINO)CARBONYL]AMINO}-2-HYDROXYPROPANOIC ACID;
C10H14N4O3;238,106590; 4-(Acetylamino)-3-Guanidinobenzoic Acid;
C15H14N2O;238,110613; 3-(3-methoxybenzyl)-1H-pyrrolo[2,3-b]pyridine;
C12H18N2O3;238,131742; Secobarbital;76-73-3
C16H18N2;238,146999; Nomifensine;24526-64-5
C16H18N2;238,146999; 1-(9-ethyl-9H-carbazol-3-yl)-N-methylmethanamine;
C16H30O;238,229666; Bombykol;
C7H14NO6P;239,055874; 3-[(1-Amino-2-Carboxy-Ethyl)-Hydroxy-Phosphinoyl]-2-Methyl-Propionic Acid;
C10H13N3O2S;239,072847; 2-(3-GUANIDINOPHENYL)-3-MERCAPTOPROPANOIC ACID;
C10H13N3O2S;239,072847; N1-CYCLOPENTYL-N2-(THIAZOL-2-YL)OXALAMIDE;
C14H10FN3;239,085876; 4-[3-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL]PYRIDINE;
C14H10FN3;239,085876; 3-(4-fluorophenyl)-5-phenyl-4H-1,2,4-triazole;
C10H13N3O4;239,090606; (S)-2-Amino-3-(1,3,5,7-Pentahydro-2,4-Dioxo-Cyclopenta[E]Pyrimidin-1-Yl) Proionic Acid;
C15H13NO2;239,094629; 4-(1,3-BENZOXAZOL-2-YL)-2,6-DIMETHYLPHENOL;
C9H13N5O3;239,101839; Quinonoid 7,8-Tetrahydrobiopterin;79647-29-3
C9H13N5O3;239,101839; 7,8-Dihydro-L-Biopterin;
C9H13N5O3;239,101839; 7,8-Dihydrobiopterin;6779-87-9
C13H18ClNO;239,107692; Bupropion;34841-39-9
C13H13N5;239,117095; N-METHYL-1-[4-(9H-PURIN-6-YL)PHENYL]METHANAMINE;
C13H13N5;239,117095; 3-methyl-N-(pyridin-4-ylmethyl)imidazo[1,2-a]pyrazin-8-amine;
C13H21NO3;239,152144; Isoetharine;530-08-5
C13H21NO3;239,152144; Salbutamol;18559-94-9
C17H21N;239,167400; Benzphetamine;156-08-1
C4H5IN2O2;239,939571; (5s)-5-Iododihydro-2,4(1h,3h)-Pyrimidinedione;
C7H3BrN3O2;239,940864; 3-Bromo-7-Nitroindazole;
C6H8O8S;239,993988; 1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid;
C6H12N2O4S2;240,023848; L-Cystine;56-89-3
C9H8N2O6;240,038236; 4-(ACETYLAMINO)-3-HYDROXY-5-NITROBENZOIC ACID;
C14H8O4;240,042259; Danthron;117-10-2
C11H12O6;240,063388; 2-(3-CARBOXYPROPIONYL)-6-HYDROXY-CYCLOHEXA-2,4-DIENE CARBOXYLIC ACID;
C15H12O3;240,078644; 5,4'-Dideoxyflavanone;
C15H12O3;240,078644; 4'-Hydroxyflavanone;
C14H12N2O2;240,089878; 5-HYDROXY-3-[(1R)-1-(1H-PYRROL-2-YL)ETHYL]-2H-INDOL-2-ONE;
C12H16O5;240,099774; 3-CARBOXY-4-METHYL-5-PROPYL-2-FURANPROPIONIC;
C13H12N4O;240,101111; 4-(2-amino-1-methyl-1H-imidazo[4,5-b]pyridin-6-yl)phenol;
C15H16N2O;240,126263; (7as,12ar,12bs)-1,2,3,4,7a,12,12a,12b-Octahydroindolo[2,3-a]Quinolizin-7(6h)-One;
C15H16N2O;240,126263; (2R)-2-PHENYL-N-PYRIDIN-4-YLBUTANAMIDE;
C14H16N4;240,137497; Imiquimod;99011-02-6
C12H20N2O3;240,147393; Pirbuterol;38677-81-5
C16H20N2;240,162649; Pheniramine;86-21-5
C16H32O;240,245316; Hexadecanal;629-80-1
C15H32N2;240,256549; Pentolinium;52-62-0
C5H12AsNO3S;240,975385; Cystein-S-Yl Cacodylate;
C8H8ClN5O2;241,036652; 5-Chloryl-2,4,6-Quinazolinetriamine;
C11H9F2NO3;241,055050; (1S,2R)-2-[(2,5-difluorophenyl)carbamoyl]cyclopropanecarboxylic acid;
C10H11NO6;241,058637; 2,3,-Dihydroxybenzoylserine;127658-43-9
C7H16NO6P;241,071524; 2-Amino-3-(Diethoxy-Phosphoryloxy)-Propionic Acid;
C13H11N3O2;241,085127; SU9516;
C11H15NO5;241,095023; Methocarbamol;532-03-6
C12H11N5O;241,096360; Peldesine;
C12H11N5O;241,096360; 4-(4-methoxy-1H-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-2-amine;
C15H15NO2;241,110279; Mefenamic acid;61-68-7
C15H15NO2;241,110279; Biphenylalanine;
C9H15N5O3;241,117489; Tetrahydrobiopterin;17528-72-2
C9H15N5O3;241,117489; (6r,1'r,2's)-5,6,7,8 Tetrahydrobiopterin;
C9H15N5O3;241,117489; 6s-5,6,7,8-Tetrahydrobiopterin;
C12H19NO4;241,131408; 3-OXO-OCTANOIC ACID (2-OXO-TETRAHYDRO-FURAN-3-YL)-AMIDE;
C10H19N5S;241,136116; 2-T-BUTYLAMINO-4-ETHYLAMINO-6-METHYLTHIO-S-TRIAZINE;
C11H19N3O3;241,142641; TERT-BUTYL [(1R)-2-METHYL-1-(1,3,4-OXADIAZOL-2-YL)PROPYL]CARBAMATE;
C11H19N3O3;241,142641; TERT-BUTYL [(1S)-2-METHYL-1-(1,3,4-OXADIAZOL-2-YL)PROPYL]CARBAMATE;
C13H23NO3;241,167794; Tert-Butyl(1s)-1-Cyclohexyl-2-Oxoethylcarbamate;
C6H10O8S;242,009638; 3,6-Anhydro-D-Galactose-2-Sulfate;
C6H10O8S;242,009638; 1,4-Dideoxy-O2-Sulfo-Glucuronic Acid;
C14H10O2S;242,040150; RALOXIFENE CORE;
C11H17BrN;242,054437; Bretylium;59-41-6
C7H15O7P;242,055539; 2-Deoxy-D-Glucitol 6-(E)-Vinylhomophosphonate;
C9H11ClN4O2;242,057053; 5-Chloro-6-[(2-Iminopyrrolidin-1-Yl)Methyl]Pyrimidine-2,4(1h,3h)-Dione;
C13H10N2O3;242,069142; 2-((4'-HYDROXYPHENYL)-AZO)BENZOIC ACID;
C13H10N2O3;242,069142; 4-(6-HYDROXY-1H-INDAZOL-3-YL)BENZENE-1,3-DIOL;
C12H15ClO3;242,070972; Clofibrate;637-07-0
C10H14N2O3S;242,072513; N-{2-[4-(AMINOSULFONYL)PHENYL]ETHYL}ACETAMIDE;
C12H10N4O2;242,080376; 7,8-dimethylalloxazine;1086-80-2
C10H14N2O5;242,090272; Telbivudine;3424-98-4
C10H14N2O5;242,090272; 1-Beta-Ribofuranosyl-1,3-Diazepinone;
C10H14N2O5;242,090272; 5-Methyl-2'-Deoxypseudouridine;
C10H14N2O5;242,090272; 3-Deazacytidine;
C10H14N2O5;242,090272; Deoxythymidine;50-89-5
C12H12B2O4;242,092170; 4,4'-Biphenyldiboronic Acid;
C15H14O3;242,094294; Fenoprofen;34597-40-5
C12H19O3P;242,107181; Diethyl 4-Methylbenzylphosphonate;3762-25-2
C11H18N2O2S;242,108899; Thiopental;76-75-5
C12H14N6;242,127994; 2,4-Diamino-6-Phenyl-5,6,7,8,-Tetrahydropteridine;
C15H18N2O;242,141913; Huperaine A;
C13H26N2O2;242,199428; 3-(CARBOXYAMIDE(2-CARBOXYAMIDE-2-TERTBUTYLETHYL))PENTAN;
C16H36N;242,284775; Tetrabutylammonium Ion;2052-49-5
C13H9NO4;243,053158; 4-(6-HYDROXY-BENZO[D]ISOXAZOL-3-YL)BENZENE-1,3-DIOL;
C11H9N5O2;243,075625; 2-[2-(1H-tetrazol-5-yl)ethyl]-1H-isoindole-1,3(2H)-dione;
C9H13N3O5;243,085521; Cytarabine;147-94-4
C9H13N3O5;243,085521; Cytidine;
C10H17N3O2S;243,104147; 2-Iminobiotin;
C14H17N3O;243,137162; Frovatriptan;158747-02-5
C13H25NO3;243,183444; CYCLOHEXYL-NORSTATINE;
C17H25N;243,198700; Phencyclidine;77-10-1
C14H29NO2;243,219829; CYCLOHEXYLMETHYL-2,3-DIHYDROXY-5-METHYL-HEXYLAMIDE;
CH4Cl2O6P2;243,886016; Clodronate;10596-23-3
C8H8N2O3S2;243,997634; 1-Methyl-3-Oxo-1,3-Dihydro-Benzo[C]Isothiazole-5-Sulfonic Acid Amide;
C9H9O6P;244,013675; RU78299;
C9H10Cl2N4;244,028252; Apraclonidine;66711-21-5
C6H13O8P;244,034804; 2-Deoxy-Glucose-6-Phosphate;
C9H12N2O4S;244,051778; Phenylalanine-N-Sulfonamide;
C9H12N2O6;244,069536; Uridine;58-96-8
C10H8N6O2;244,070874; 3-(5-AMINO-3-IMINO-3H-PYRAZOL-4-YLAZO)-BENZOIC ACID;
C14H12O4;244,073559; PICEATANNOL;
C8H12N4O5;244,080770; Ribavirin;36791-04-5
C8H12N4O5;244,080770; Azacitidine;320-67-2
C9H16N4S2;244,081638; Metiamide;34839-70-8
C11H10N5O2;244,083450; Debromohymenialdisine;
C10H16N2O3S;244,088163; Biotin;58-85-5
C10H16N2O3S;244,088163; 5-[(3AS,4R,6AR)-2-OXOHEXAHYDRO-1H-THIENO[3,4-D]IMIDAZOL-4-YL]PENTANOIC ACID;
C10H16N2O3S;244,088163; THIO-ATPA;
C15H13FO2;244,089958; Flurbiprofen;5104-49-4
C14H16N2O2;244,121178; Etomidate;33125-97-2
C13H16N4O;244,132411; (2R)-2-(7-carbamoyl-1H-benzimidazol-2-yl)-2-methylpyrrolidinium;
C15H20N2O;244,157563; 1-(adamantan-1-yl)-2-(1H-imidazol-1-yl)ethanone;
C16H24N2;244,193949; Xylometazoline;526-36-3
C14H28O3;244,203845; 3-Hydroxy-Myristic Acid;
C3H8AsNO5S;244,933914; S-Arsonocysteine;
C8H5Cl2N3S;244,958123; 4-(2,5-Dichloro-Thiophen-3-Yl)-Pyrimidin-2-Ylamine;
C9H9Cl2N3O;245,012267; Guanfacine;29110-47-2
C9H12NO5P;245,045309; [[N-(Benzyloxycarbonyl)Amino]Methyl]Phosphate;
C11H19NO5;245,126323; methyl (3S)-3-[(tert-butoxycarbonyl)amino]-4-oxopentanoate;
C14H17N2O2;245,129003; 3,5-DIMETHYL-1-PHENYL-1H-PYRAZOLE-4-CARBOXYLIC ACID ETHYL ESTER;
C16H23NO;245,177964; Dezocine;53648-55-8
C19H20N7O8;245,380000; N-{3-[5-(6-Amino-Purin-9-Yl)-3,4-Dihydroxy-Tetrahydro-Furan-2-Yl]-Allyl}-2,3-Dihydroxy-5-Nitro-Benzamide;
C5H12O7P2;246,005826; Dimethylallyl Diphosphate;358-72-5
C5H12O7P2;246,005826; ISOPENTENYL PYROPHOSPHATE;
C8H7FN2O4S;246,011056; 2-[(4-fluorophenyl)sulfonylamino]-N-oxo-ethanamide;
C5H11O9P;246,014068; 5-Phosphoarabinonic Acid;
C6H14O6S2;246,023180; Busulfan;55-98-1
C6H15O8P;246,050454; 2-Deoxy-Glucitol-6-Phosphate;
C10H18N2Se;246,063520; 2-Amino-4-Butyl-5-Propylselenazole;
C9H11FN2O5;246,065200; Floxuridine;50-91-9
C9H14N2O6;246,085186; 2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Oxadiazole;
C13H14N2O3;246,100442; Methylphenobarbital;115-38-8
C9H18N4O4;246,132805; N2-(Carboxyethyl)-L-Arginine;
C13H18N4O;246,148061; 1-Amino-6-Cyclohex-3-Enylmethyloxypurine;
C15H22N2O;246,173213; Mepivacaine;96-88-8
C15H22N2O;246,173213; Milnacipran;92623-85-3
C8H10NO6P;247,024574; Pyridoxal Phosphate;54-47-7
C8H10FN3O3S;247,042690; Emtricitabine;143491-57-0
C8H13N3O4S;247,062677; Tinidazole;19387-91-8
